GameID,Title,Max Players,Review Score,Sales,Price,Category,Year
258,Pirates of the Caribbean: Dead Man's Chest,1,52,0.26,14.95,T,2006
259,NHL 07 ,1,79,0.26,5.95,T,2006
260,Monster Hunter Freedom,1,71,0.25,12.95,E,2006
261,Chromehounds,1,71,0.25,14.95,T,2006
262,Test Drive Unlimited,1,82,0.25,17.95,T,2006
263,Dragon Ball Z: Budokai Tenkaichi 2,2,72,0.24,14.95,E,2006
264,Dragon Quest Monsters: Joker,1,75,0.24,14.95,T,2006
265,Pirates of the Caribbean: Dead Man's Chest,1,63,0.24,11.95,E,2006
266,NFL Street 3,1,68,0.24,14.95,T,2006
267,Syphon Filter: Dark Mirror,1,87,0.24,12.95,M,2006
268,NBA 07,4,63,0.23,6.95,T,2006
269,Ridge Racer 7,2,78,0.23,19.95,E,2006
270,The Outfit,2,70,0.23,14.95,E,2006
271,Elebits,4,75,0.22,14.95,T,2006
272,Tony Hawk's Downhill Jam,1,76,0.22,14.95,T,2006
273,The Sims 2: Pets,1,57,0.21,17.95,T,2006
274,Tiger Woods PGA Tour 07,1,78,0.21,12.95,E,2006
275,Thrillville,1,72,,14.95,E,2006
276,The Godfather: The Game,1,77,0.2,17.95,T,2006
277,Rampage: Total Destruction,4,46,0.19,16.95,E,2006
278,College Hoops 2K7,4,82,0.19,6.95,T,2006
279,Far Cry: Instincts - Predator,4,78,0.19,17.95,E,2006
280,Full Auto,2,70,0.19,16.95,E,2006
281,Age of Empires: The Age of Kings,1,80,0.19,17.95,T,2006
282,Need for Speed: Carbon - Own the City,1,70,0.19,14.95,T,2006
283,Brothers in Arms: D-Day,1,65,0.19,6.95,T,2006
284,Family Guy Video Game!,1,51,0.19,19.95,M,2006
285,Superman Returns,1,51,0.19,7.95,E,2006
286,Over G Fighters,2,49,0.18,17.95,E,2006
287,Final Fantasy XI Online,1,66,0.18,4.95,E,2006
288,Mystery Dungeon: Shiren the Wanderer,1,69,0.17,17.95,T,2006
289,Phoenix Wright: Ace Attorney - Justice for All,1,76,0.17,13.95,E,2006
290,Justice League Heroes,1,72,0.17,17.95,M,2006
291,Valhalla Knights,1,53,0.17,16.95,T,2006
292,Genji: Days of the Blade,1,55,0.17,14.95,T,2006
293,Top Spin 2,4,75,0.16,12.95,T,2006
294,Field Commander,2,77,0.16,14.95,T,2006
295,Children of Mana,1,65,0.16,16.95,E,2006
296,Valkyrie Profile: Lenneth,1,80,0.16,22.95,E,2006
297,Monster House,1,62,0.15,14.95,M,2006
298,Enchanted Arms,1,69,0.15,17.95,E,2006
299,NHL 07,4,76,0.14,12.95,M,2006
300,Bust-a-Move Deluxe,2,73,0.14,14.95,M,2006
301,Full Auto 2: Battlelines,2,67,0.14,14.95,T,2006
302,Blitz: The League,2,69,0.14,14.95,T,2006
303,Star Trek Legacy,2,64,0.14,24.95,E,2006
304,Eragon,1,63,0.14,16.95,E,2006
305,Master of Illusion,1,69,0.14,14.95,E,2006
306,Mega Man ZX,1,76,0.14,19.95,T,2006
307,Untold Legends: The Warrior's Code,1,65,0.14,14.95,T,2006
308,Super Swing Golf,1,72,0.14,16.95,T,2006
309,X-Men: The Official Game,1,52,0.14,14.95,M,2006
310,Untold Legends: Dark Kingdom,2,58,0.13,16.95,E,2006
311,Happy Feet,2,46,0.13,14.95,E,2006
312,Open Season,1,72,0.13,17.95,T,2006
313,Dungeon Siege: Throne of Agony,1,74,0.13,24.95,E,2006
314,LocoRoco,1,83,0.13,17.95,T,2006
315,Dead or Alive: Xtreme 2,1,53,0.13,14.95,T,2006
316,Fuzion Frenzy 2,4,49,0.12,14.95,T,2006
317,MotoGP '06,4,80,0.12,14.95,M,2006
318,Lumines II,2,81,0.12,14.95,E,2006
319,Major League Baseball 2K6,1,69,0.12,4.95,M,2006
320,Star Wars: Lethal Alliance,1,61,,17.95,T,2006
321,Worms: Open Warfare,1,70,0.12,17.95,T,2006
322,Eragon,4,59,0.11,14.95,E,2006
323,Metal Slug Anthology,4,73,0.11,16.95,T,2006
324,Open Season,4,59,0.11,14.95,E,2006
325,Tom Clancy's Splinter Cell: Double Agent,2,61,0.11,17.95,T,2006
326,Avatar: The Last Airbender,1,57,0.11,17.95,E,2006
327,Lemmings,1,76,0.11,17.95,E,2006
328,Mega Man Powered Up,1,82,0.11,16.95,E,2006
329,College Hoops 2K6,1,70,0.11,6.95,E,2006
330,Dynasty Warriors 5: Empires,2,61,0.1,14.95,T,2006
331,Magical Starsign,1,69,0.1,9.95,E,2006
332,Resident Evil: Deadly Silence,1,71,0.1,17.95,E,2006
333,X-Men: The Official Game,1,50,0.1,14.95,E,2006
334,Cabela's African Safari,1,53,0.1,17.95,E,2006
335,Cabela's Alaskan Adventures,1,48,0.1,17.95,E,2006
336,Armored Core 4,2,65,0.09,19.95,E,2006
337,Eragon,2,48,0.09,12.95,T,2006
338,LostMagic,1,68,0.09,14.95,T,2006
339,Magnetica,1,68,0.09,17.95,T,2006
340,Def Jam Fight for NY: The Takeover,1,79,0.09,17.95,T,2006
341,NASCAR 07,1,66,0.09,24.95,T,2006
342,The Ant Bully,1,45,0.09,16.95,T,2006
343,Just Cause,1,73,0.09,16.95,E,2006
344,Onechanbara: Bikini Samurai Squad,1,39,0.09,19.95,E,2006
345,Phantasy Star Universe,1,64,0.09,24.95,E,2006
346,Project Sylpheed: Arc of Deception,1,64,0.09,14.95,T,2006
347,Winning Eleven: Pro Evolution Soccer 2007,6,80,0.08,11.95,E,2006
348,Kororinpa: Marble Mania,2,69,0.08,17.95,T,2006
349,Digimon World DS,1,49,0.08,27.95,E,2006
350,Justice League Heroes,1,43,0.08,17.95,E,2006
351,Innocent Life: A Futuristic Harvest Moon,1,67,0.08,17.95,E,2006
352,Power Stone Collection,1,74,0.08,14.95,M,2006
353,EA Replay,4,56,0.07,14.95,E,2006
354,Open Season,4,49,0.07,17.95,M,2006
355,Samurai Warriors 2,4,52,0.07,14.95,M,2006
356,Far Cry: Vengeance,2,38,0.07,16.95,E,2006
357,Import Tuner Challenge,2,54,0.07,17.95,E,2006
358,Contact,1,73,0.07,14.95,E,2006
359,Touch Detective,1,60,0.07,14.95,T,2006
360,FIFA Street 2,1,58,0.07,17.95,T,2006
361,007: From Russia with Love,,61,0.07,17.95,T,2006
362,PaRappa the Rapper,1,67,0.07,12.95,T,2006
363,Riviera: The Promised Land,1,68,0.07,17.95,M,2006
364,Samurai Warriors: State of War,1,64,0.07,17.95,E,2006
365,Viewtiful Joe: Red Hot Rumble,1,63,0.07,14.95,E,2006
366,Ice Age 2: The Meltdown,1,66,0.07,17.95,E,2006
367,Rumble Roses XX,4,62,0.06,17.95,E,2006
368,Bionicle Heroes,1,72,0.06,16.95,T,2006
369,Deep Labyrinth,1,57,0.06,10.95,T,2006
370,Blade Dancer: Lineage of Light,1,60,0.06,16.95,E,2006
371,Every Extend Extra,1,74,,11.95,E,2006
372,Ultimate Ghosts 'N' Goblins,1,72,0.06,17.95,E,2006
373,Xiaolin Showdown,1,44,0.06,14.95,M,2006
374,Bionicle Heroes,1,59,0.06,14.95,T,2006
375,Bullet Witch,1,55,0.06,16.95,M,2006
376,Death Jr. II: Root of Evil,2,68,0.05,14.95,E,2006
377,Alex Rider: Stormbreaker,1,48,0.05,12.95,M,2006
378,Cartoon Network Racing,1,55,0.05,14.95,E,2006
379,Guilty Gear: Dust Strikers,1,60,0.05,14.95,E,2006
380,Gunpey DS,1,70,0.05,12.95,E,2006
381,Lara Croft Tomb Raider: Legend,1,58,0.05,17.95,E,2006
382,Worms: Open Warfare,1,64,0.05,17.95,E,2006
383,Mercury Meltdown,1,78,0.05,12.95,M,2006
384,MTX Mototrax,1,67,0.05,19.95,M,2006
385,Snoopy vs. the Red Baron,1,76,0.05,17.95,E,2006
386,Super Monkey Ball Adventure,1,56,0.05,24.95,E,2006
